x-axis,2,4
second,Volt,Volt
+109.80000E-03,,
+109.82000E-03,,
+109.84000E-03,,
+109.86000E-03,+22.61279E-03,+357.09430E-03
+109.88000E-03,+22.61279E-03,+297.99882E-03
+109.90000E-03,-77.88973E-03,+230.46114E-03
+109.92000E-03,-680.90481E-03,+238.90335E-03
+109.94000E-03,+22.61279E-03,+289.55661E-03
+109.96000E-03,-680.90481E-03,+297.99882E-03
+109.98000E-03,+123.11530E-03,+289.55661E-03
+110.00000E-03,+927.13541E-03,+297.99882E-03
+110.02000E-03,+123.11530E-03,+365.53651E-03
+110.04000E-03,+123.11530E-03,+365.53651E-03
+110.06000E-03,-580.40229E-03,+297.99882E-03
+110.08000E-03,-580.40229E-03,+289.55661E-03
+110.10000E-03,+123.11530E-03,+188.25008E-03
+110.12000E-03,-580.40229E-03,+306.44103E-03
+110.14000E-03,-580.40229E-03,+306.44103E-03
+110.16000E-03,+123.11530E-03,+357.09430E-03
+110.18000E-03,-580.40229E-03,+365.53651E-03
+110.20000E-03,-580.40229E-03,+289.55661E-03
+110.22000E-03,+726.13038E-03,+365.53651E-03
+110.24000E-03,-580.40229E-03,+306.44103E-03
+110.26000E-03,+22.61279E-03,+365.53651E-03
+110.28000E-03,+123.11530E-03,+297.99882E-03
+110.30000E-03,+826.63289E-03,+306.44103E-03
+110.32000E-03,-580.40229E-03,+365.53651E-03
+110.34000E-03,-680.90481E-03,+365.53651E-03
+110.36000E-03,-580.40229E-03,+306.44103E-03
+110.38000E-03,+22.61279E-03,+289.55661E-03
+110.40000E-03,+123.11530E-03,+238.90335E-03
+110.42000E-03,+22.61279E-03,+424.63199E-03
+110.44000E-03,-680.90481E-03,+306.44103E-03
+110.46000E-03,+22.61279E-03,+365.53651E-03
+110.48000E-03,-580.40229E-03,+357.09430E-03
+110.50000E-03,-77.88973E-03,+297.99882E-03
+110.52000E-03,+22.61279E-03,+365.53651E-03
+110.54000E-03,-580.40229E-03,+340.20988E-03
+110.56000E-03,+123.11530E-03,+365.53651E-03
+110.58000E-03,+22.61279E-03,+179.80787E-03
+110.60000E-03,+726.13038E-03,+289.55661E-03
+110.62000E-03,+123.11530E-03,+247.34556E-03
+110.64000E-03,+123.11530E-03,+289.55661E-03
+110.66000E-03,-680.90481E-03,+297.99882E-03
