x-axis,3,4
second,Volt,Volt
-347.0000E-06,+206.1322227E-03,+410.0344127E-03
-346.8400E-06,+208.6840443E-03,+410.2534767E-03
-346.6800E-06,+209.6262553E-03,+410.6429240E-03
-346.5200E-06,+210.8040191E-03,+411.8842870E-03
-346.3600E-06,+212.0603005E-03,+410.5212217E-03
-346.2000E-06,+215.2402628E-03,+409.7910081E-03
-346.0400E-06,+216.4965442E-03,+409.0364541E-03
-345.8800E-06,+219.3624361E-03,+408.4279428E-03
-345.7200E-06,+222.2283280E-03,+408.0141551E-03
-345.5600E-06,+222.3068456E-03,+408.9877732E-03
-345.4000E-06,+223.6416446E-03,+407.2596011E-03
-345.2400E-06,+226.5860541E-03,+406.4807067E-03
-345.0800E-06,+228.6275114E-03,+405.0446200E-03
-344.9200E-06,+229.6874988E-03,+406.3833449E-03
-344.7600E-06,+231.7289561E-03,+407.6247079E-03
-344.6000E-06,+233.9274485E-03,+407.2596011E-03
-344.4400E-06,+237.7748103E-03,+407.3569629E-03
-344.2800E-06,+242.1325364E-03,+406.3590044E-03
-344.1200E-06,+246.5295213E-03,+407.9167933E-03
-343.9600E-06,+249.0028252E-03,+408.3305810E-03
-343.8000E-06,+251.2013177E-03,+409.0364541E-03
-343.6400E-06,+255.0486795E-03,+407.6003675E-03
-343.4800E-06,+255.5590438E-03,+407.3813034E-03
-343.3200E-06,+256.3834784E-03,+408.5739855E-03
-343.1600E-06,+254.8523855E-03,+408.5739855E-03
-343.0000E-06,+253.2427750E-03,+407.5273461E-03
-342.8400E-06,+251.1228001E-03,+408.0628360E-03
-342.6800E-06,+247.2754383E-03,+408.3305810E-03
-342.5200E-06,+244.5665816E-03,+408.8660710E-03
-342.3600E-06,+242.0540188E-03,+408.5983260E-03
-342.2000E-06,+238.9918329E-03,+409.9127104E-03
-342.0400E-06,+235.0266947E-03,+410.7889667E-03
-341.8800E-06,+233.9667073E-03,+412.0790106E-03
-341.7200E-06,+232.7889435E-03,+412.7605433E-03
-341.5600E-06,+232.3570968E-03,+413.6854805E-03
-341.4000E-06,+232.0430264E-03,+413.6367995E-03
-341.2400E-06,+232.5533907E-03,+414.1236086E-03
-341.0800E-06,+232.6319083E-03,+415.2189289E-03
-340.9200E-06,+230.4334159E-03,+415.0242053E-03
-340.7600E-06,+229.2949109E-03,+414.6347581E-03
-340.6000E-06,+230.2763807E-03,+416.8010583E-03
-340.4400E-06,+230.7082275E-03,+417.9694000E-03
-340.2800E-06,+229.6482400E-03,+417.0688033E-03
-340.1200E-06,+229.4912049E-03,+417.6042932E-03
-339.9600E-06,+230.3156395E-03,+418.3831877E-03
-339.8000E-06,+229.8837928E-03,+417.9694000E-03
-339.6400E-06,+229.8052752E-03,+418.9186776E-03
-339.4800E-06,+230.6297099E-03,+419.7462530E-03
-339.3200E-06,+231.2971094E-03,+420.0139980E-03
-339.1600E-06,+232.7496847E-03,+421.2310206E-03
-339.0000E-06,+232.1215440E-03,+421.4014037E-03
-338.8400E-06,+232.8282023E-03,+421.0606374E-03
-338.6800E-06,+234.8696596E-03,+423.5677040E-03
-338.5200E-06,+236.5185289E-03,+422.7401286E-03
-338.3600E-06,+238.0888806E-03,+423.4216613E-03
-338.2000E-06,+240.7584786E-03,+423.5433635E-03
-338.0400E-06,+240.8369962E-03,+424.2248962E-03
-337.8800E-06,+241.3473605E-03,+424.6630243E-03
-337.7200E-06,+242.5251243E-03,+425.5636210E-03
-337.5600E-06,+244.3310288E-03,+424.6630243E-03
-337.4000E-06,+245.3910162E-03,+425.5392806E-03
-337.2400E-06,+244.4095464E-03,+424.8334075E-03
-337.0800E-06,+245.6265690E-03,+425.5636210E-03
-336.9200E-06,+244.7236167E-03,+426.5372391E-03
-336.7600E-06,+244.5665816E-03,+426.3181750E-03
-336.6000E-06,+245.3910162E-03,+426.6102605E-03
