,filename,datetime
0,scope_10.csv,2021-12-10 13:34:08
1,scope_11.csv,2021-12-10 13:35:12
2,scope_13.csv,2021-12-10 13:36:40
3,scope_14.csv,2021-12-10 13:39:02
4,scope_15.csv,2021-12-10 13:48:14
5,scope_16.csv,2021-12-10 13:50:26
6,scope_17.csv,2021-12-10 13:51:18
7,scope_18.csv,2021-12-10 13:51:48
8,scope_19.csv,2021-12-10 15:27:34
9,scope_20.csv,2021-12-10 15:30:44
10,scope_26.csv,2021-12-10 15:40:54
11,scope_27.csv,2021-12-10 15:41:16
12,scope_28.csv,2021-12-10 15:41:20
13,scope_29.csv,2021-12-10 15:41:30
14,scope_30.csv,2021-12-10 15:42:02
15,scope_31.csv,2021-12-10 15:42:08
16,scope_32.csv,2021-12-10 15:43:02
17,scope_33.csv,2021-12-10 15:43:24
18,scope_34.csv,2021-12-10 15:43:28
19,scope_35.csv,2021-12-10 15:43:34
20,scope_36.csv,2021-12-10 15:43:40
21,scope_37.csv,2021-12-10 15:49:20
22,scope_38.csv,2021-12-10 15:49:36
23,scope_39.csv,2021-12-10 15:49:52
24,scope_40.csv,2021-12-10 15:50:30
25,scope_41.csv,2021-12-10 15:50:34
26,scope_42.csv,2021-12-10 15:50:42
27,scope_43.csv,2021-12-10 15:50:56
28,scope_44.csv,2021-12-10 15:51:06
29,scope_45.csv,2021-12-10 15:51:58
30,scope_46.csv,2021-12-10 15:52:04
31,scope_47.csv,2021-12-10 15:52:18
32,scope_48.csv,2021-12-10 15:52:28
33,scope_49.csv,2021-12-10 15:52:42
34,scope_50.csv,2021-12-10 15:52:50
35,scope_51.csv,2021-12-10 15:52:58
36,scope_52.csv,2021-12-10 15:53:10
37,scope_53.csv,2021-12-10 16:27:02
38,scope_54.csv,2021-12-10 16:30:48
39,scope_55.csv,2021-12-10 17:49:44
40,scope_56.csv,2021-12-10 17:50:18
41,scope_57.csv,2021-12-10 17:51:10
42,scope_58.csv,2021-12-10 17:51:36
43,scope_59.csv,2021-12-10 17:51:58
44,scope_60.csv,2021-12-10 17:52:22
45,scope_61.csv,2021-12-10 17:52:30
46,scope_62.csv,2021-12-10 17:52:54
47,scope_63.csv,2021-12-10 17:53:12
48,scope_64.csv,2021-12-10 17:53:54
49,scope_65.csv,2021-12-10 17:54:04
50,scope_66.csv,2021-12-10 17:54:16
51,scope_67.csv,2021-12-10 17:54:28
52,scope_68.csv,2021-12-10 17:54:46
53,scope_69.csv,2021-12-10 17:54:54
54,scope_70.csv,2021-12-10 17:55:06
55,scope_71.csv,2021-12-10 17:55:18
56,scope_72.csv,2021-12-10 17:55:26
57,scope_73.csv,2021-12-10 17:56:04
58,scope_74.csv,2021-12-10 17:56:18
59,scope_75.csv,2021-12-10 17:56:26
60,scope_76.csv,2021-12-10 17:56:46
61,scope_77.csv,2021-12-10 18:00:24
62,scope_78.csv,2021-12-10 18:01:04
63,scope_79.csv,2021-12-10 18:01:32
64,scope_80.csv,2021-12-10 18:01:50
65,scope_81.csv,2021-12-10 18:05:16
66,scope_82.csv,2021-12-10 18:05:32
67,scope_83.csv,2021-12-10 18:05:46
68,scope_84.csv,2021-12-10 18:06:20
69,scope_85.csv,2021-12-10 18:06:34
70,scope_86.csv,2021-12-10 18:06:44
71,scope_87.csv,2021-12-10 18:07:34
72,scope_88.csv,2021-12-10 18:07:50
73,scope_89.csv,2021-12-10 18:08:00
74,scope_90.csv,2021-12-10 18:08:06
75,scope_91.csv,2021-12-10 18:08:22
76,scope_92.csv,2021-12-10 18:08:32
77,scope_093.csv,2021-12-15 16:04:26
78,scope_094.csv,2021-12-15 16:04:54
79,scope_095.csv,2021-12-15 16:20:20
80,scope_096.csv,2021-12-15 16:30:50
81,scope_097.csv,2021-12-15 16:33:46
82,scope_098.csv,2021-12-15 16:34:20
83,scope_099.csv,2021-12-15 16:38:46
84,scope_100.csv,2021-12-15 16:39:04
85,scope_101.csv,2021-12-15 16:39:20
86,scope_102.csv,2021-12-15 16:39:28
87,scope_103.csv,2021-12-15 16:39:42
88,scope_104.csv,2021-12-15 16:39:50
89,scope_105.csv,2021-12-15 16:40:16
90,scope_106.csv,2021-12-15 16:41:02
91,scope_107.csv,2021-12-15 16:41:20
92,scope_108.csv,2021-12-15 16:41:44
93,scope_109.csv,2021-12-15 16:41:52
94,scope_110.csv,2021-12-15 16:42:04
95,scope_111.csv,2021-12-15 16:42:14
96,scope_112.csv,2021-12-15 16:42:46
97,scope_113.csv,2021-12-15 16:42:56
98,scope_114.csv,2021-12-15 16:43:06
99,scope_115.csv,2021-12-15 16:43:28
100,scope_116.csv,2021-12-15 16:43:36
101,scope_117.csv,2021-12-15 16:43:44
102,scope_118.csv,2021-12-15 16:43:50
103,scope_119.csv,2021-12-15 16:43:58
104,scope_120.csv,2021-12-15 16:44:12
105,scope_121.csv,2021-12-15 16:44:18
106,scope_122.csv,2021-12-15 16:44:30
107,scope_123.csv,2021-12-15 16:44:48
108,scope_124.csv,2021-12-15 16:45:04
109,scope_125.csv,2021-12-15 16:45:18
110,scope_126.csv,2021-12-15 17:04:38
111,scope_127.csv,2021-12-15 17:05:06
112,scope_128.csv,2021-12-15 17:05:28
113,scope_129.csv,2021-12-15 17:05:42
114,scope_130.csv,2021-12-15 17:06:14
115,scope_131.csv,2021-12-15 17:06:28
116,scope_132.csv,2021-12-15 17:06:42
117,scope_133.csv,2021-12-15 17:07:06
118,scope_134.csv,2021-12-15 17:07:28
119,scope_135.csv,2021-12-15 17:07:48
120,scope_136.csv,2021-12-15 17:08:18
